,BenefitsScreening,BenefitsAccess,AgencyProvidedSupport,AccessIncome,AccessEmployment,AccessFinancialCoach,BundledServices
595,Yes,Yes,No,Yes,Yes,Yes,3
596,No,No,No,No,No,No,0
597,No,No,Yes,Yes,No,No,1
598,Yes,Yes,Yes,Yes,No,No,1
599,Yes,Yes,No,Yes,No,Yes,2
600,Yes,No,Yes,Yes,Yes,Yes,3
601,Yes,No,Yes,Yes,Yes,Yes,3
602,No,No,Yes,Yes,Yes,Yes,3
603,No,No,No,No,Yes,No,1
604,No,No,No,No,No,Yes,1
605,Yes,No,Yes,Yes,No,Yes,2
606,No,No,No,No,No,Yes,1
607,Yes,No,No,Yes,No,Yes,2
608,Yes,No,,Yes,No,Yes,2
609,Yes,Yes,No,Yes,No,Yes,2
610,No,Yes,Yes,Yes,Yes,Yes,3
611,No,Yes,No,Yes,No,Yes,2
612,No,No,Yes,Yes,Yes,Yes,3
613,No,No,No,No,Yes,No,1
614,No,No,Yes,Yes,Yes,Yes,3
615,No,No,Yes,Yes,Yes,No,2
616,No,No,No,No,No,No,0
617,No,No,Yes,Yes,Yes,Yes,3
618,Yes,No,Yes,Yes,Yes,Yes,3
619,No,No,No,No,No,No,0
620,Yes,No,Yes,Yes,Yes,Yes,3
621,Yes,Yes,Yes,Yes,Yes,Yes,3
622,Yes,No,Yes,Yes,Yes,Yes,3
623,Yes,Yes,Yes,Yes,No,Yes,2
624,Yes,No,No,Yes,No,Yes,2
625,Yes,Yes,No,Yes,Yes,Yes,3
626,Yes,Yes,Yes,Yes,Yes,Yes,3
627,No,No,Yes,Yes,No,Yes,2
628,Yes,No,No,Yes,Yes,No,2
629,Yes,No,No,Yes,Yes,Yes,3
630,Yes,Yes,Yes,Yes,No,Yes,2
631,No,Yes,No,Yes,No,Yes,2
632,No,No,Yes,Yes,No,No,1
633,No,No,Yes,Yes,No,Yes,2
634,No,No,No,No,No,Yes,1
635,No,No,Yes,Yes,No,No,1
636,Yes,No,Yes,Yes,No,Yes,2
637,Yes,Yes,No,Yes,No,Yes,2
638,Yes,Yes,No,Yes,No,Yes,2
639,No,Yes,Yes,Yes,No,Yes,2
640,No,No,Yes,Yes,No,No,1
